timestamp,Unit_Name,Unit_Code,PSR_Type,Capacity,Generation_MW,Consumption_MW,Measurement_Unit,Temporal_Resolution,folder_tag,iso_mapping,lat,lon,iso
2020-01-01T00:00:00+00:00,HKW Altbach/Deizisau 2,11WD4AL1U1C2---O,B05,,165.675,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,HKW Heilbronn Block 7,11WD4HLBR1C7---4,B05,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,KKW Neckarwestheim 2,11WD4GKNK1N-GESZ,B14,,1311.775,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,KW Rheinfelden DE,11WD4KWRHF5M1-4I,B11,,33.925,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kopswerk 2 M1,11WD43KOP2HM1--L,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kopswerk 2 M2,11WD43KOP2HM2--H,B10,,8.075,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kopswerk 2 M3,11WD43KOP2HM3--D,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kraftwerk Säckingen,11WD4SAEK2HD4--9,B10,,4.075,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kraftwerk Wahlheim GT D,11WD4WALK5OGTD-F,B06,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kraftwerk Wehr,11WD4WEHR1HD4--Y,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Kraftwerk Witznau,11WD4WITZ5H-SD4C,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Obervermuntwerk 2 M1,11W0-0000-0109-S,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Obervermuntwerk 2 M2,11W0-0000-0110-E,B10,,45.15,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,RDK 7,11WD4RDK71C7---G,B05,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,RDK 8,11WD4RDK81C8---3,B05,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Rheinkraftwerk Iffezheim,11WD4IFFE5H----T,B11,,104.95,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Rodund 2,11WD43ROW2H----I,B10,,0.0,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,Stuttgart-Münster DT,11WD4MUST5X-DT-M,B17,,51.125,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,,11W0-0000-0004-B,B05,,20.4,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T00:00:00+00:00,,11W0-0000-0005-8,B05,,243.375,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,HKW Altbach/Deizisau 2,11WD4AL1U1C2---O,B05,,114.775,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,KKW Neckarwestheim 2,11WD4GKNK1N-GESZ,B14,,1311.275,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,KW Rheinfelden DE,11WD4KWRHF5M1-4I,B11,,33.425,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Kopswerk 2 M1,11WD43KOP2HM1--L,B10,,0.025,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Kopswerk 2 M2,11WD43KOP2HM2--H,B10,,7.125,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Kopswerk 2 M3,11WD43KOP2HM3--D,B10,,0.025,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Kraftwerk Säckingen,11WD4SAEK2HD4--9,B10,,16.725,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Kraftwerk Wehr,11WD4WEHR1HD4--Y,B10,,28.075,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
2020-01-01T01:00:00+00:00,Obervermuntwerk 2 M2,11W0-0000-0110-E,B10,,128.025,,MAW,PT60M,10YDE-ENBW-----N,DE,,,DE
